Name,Email,Phone,Company,Receivables
ABC Construction Ltd,contact@abcconst.com,+91-9876543210,ABC Construction Group,5000
Rajesh Builders,rajesh@builders.com,+91-9765432109,Rajesh & Sons,8000
Sharma Enterprises,info@sharma.com,+91-9654321098,Sharma Enterprises,12000
Kumar Construction,project@kumarconst.in,+91-9543210987,Kumar Group,3500
Mehta Infrastructure,mehta.infra@mail.com,+91-9432109876,Mehta Infra Pvt Ltd,15000
Patel & Associates,contact@patel.co.in,+91-9321098765,Patel Developers,6500
Singh Construction Co,singh@constco.com,+91-9210987654,Singh & Co,7200
Desai Builders Group,info@desaibuilders.com,+91-9109876543,Desai Builders,9000
Joshi Projects,projects@joshi.in,+91-9098765432,Joshi Construction,4800
Verma Engineering,eng@verma.co.in,+91-9098765432,Verma Engineering Ltd,11000
Nair & Sons,nair@construction.com,+91-8876543210,Nair Builders,5500
Rao Constructions,rao@constructions.com,+91-8765432109,Rao Projects,8800
Gupta Engineering Works,works@gupta.in,+91-8654321098,Gupta Works,7000
Bhat Construction,bhat@construction.in,+91-8543210987,Bhat & Company,6200
Iyer Projects Ltd,projects@iyer.com,+91-8432109876,Iyer Projects,9500
Reddy Builders Pvt,builders@reddy.in,+91-8321098765,Reddy Builders,10200
Murthy Construction,murthy@const.com,+91-8210987654,Murthy Builders,5800
Chopra Enterprises,chopra@enterprise.com,+91-8109876543,Chopra Group,13500
Kapoor & Co,kapoor@construction.com,+91-8098765432,Kapoor Construction,6800
Bansal Infrastructure,infra@bansal.in,+91-7987654321,Bansal Infra Ltd,11800
Saxena Projects,projects@saxena.com,+91-7876543210,Saxena Projects Pvt,7500
Bhatt Construction Group,group@bhatt.in,+91-7765432109,Bhatt Group,9200
Dutta & Associates,assoc@dutta.com,+91-7654321098,Dutta Associates,8200
Tripathi Builders,tripathi@builders.in,+91-7543210987,Tripathi Construction,6000
Mishra Engineering,eng@mishra.in,+91-7432109876,Mishra Engineering,10500
Srivastava Construction,const@srivastava.com,+91-7321098765,Srivastava Builders,7200
Shukla Project Management,pm@shukla.in,+91-7210987654,Shukla PM,8900
Awasthi Constructions,constructions@awasthi.com,+91-7109876543,Awasthi & Co,5600
Narayan Builders Ltd,narayan@builders.in,+91-7098765432,Narayan Builders,12000
Pandey Engineering Co,pandey@engineering.com,+91-6987654321,Pandey Engineering,6700
Singh & Associates,singh@assoc.in,+91-6876543210,Singh Associates,9800
Kumar Builders Pvt,kumar@builders.com,+91-6765432109,Kumar Builders,8500
Sharma Construction Solutions,solutions@sharma-const.in,+91-6654321098,Sharma Solutions,7600
Yadav Projects Pvt Ltd,yadav@projects.in,+91-6543210987,Yadav Projects,10800
Sinha Constructions,sinha@constructions.in,+91-6432109876,Sinha Construction,6300
Tiwari Engineering,tiwari@engineering.com,+91-6321098765,Tiwari Engineering,9100
Dwivedi Builders Group,dwivedi@builders.in,+91-6210987654,Dwivedi Group,7900
Upadhyay Construction,upadhyay@const.in,+91-6109876543,Upadhyay Builders,8300
Vaishya Infrastructure,infra@vaishya.com,+91-6098765432,Vaishya Infra,11200
Wadhwa Builders,wadhwa@builders.com,+91-5987654321,Wadhwa Construction,6900
Yadav Engineering,yadav@engineering.in,+91-5876543210,Yadav Engineering,9400
Zain Construction,zain@construction.in,+91-5765432109,Zain Builders,5200
Arora Contractors,arora@contractors.com,+91-5654321098,Arora Contractors,10100
Bhatnagar Construction,bhatnagar@const.in,+91-5543210987,Bhatnagar Builders,7300
Chandra Projects,chandra@projects.in,+91-5432109876,Chandra Projects,8700
Dasgupta Engineering,dasgupta@engineering.com,+91-5321098765,Dasgupta Engg,6000
Eswaran Builders,eswaran@builders.in,+91-5210987654,Eswaran Builders,9600
Fernandes Construction,fernandes@const.com,+91-5109876543,Fernandes Const,7100
Ghatak Projects Pvt,ghatak@projects.in,+91-5098765432,Ghatak Projects,8400
